"Match","Date","League","Opponent","Result"
"2008367535","17 Dec 2015","4088","Digital Chaos","Loss"
"2008124823","17 Dec 2015","4088","MVP Phoenix","Win"
"2008002986","17 Dec 2015","4088","MVP Phoenix","Win"
"1983978130","06 Dec 2015","3534","Team Liquid","Loss"
"1983817900","06 Dec 2015","3534","Team Liquid","Loss"
"1983602094","06 Dec 2015","3534","Team Alternate Attax","Win"
"1983480663","06 Dec 2015","3534","Team Alternate Attax","Win"
"1981733381","05 Dec 2015","3534","Team Liquid","Loss"
"1981562036","05 Dec 2015","3534","Team Liquid","Loss"
"1981322667","05 Dec 2015","3534","Team Liquid","Win"
"1977186331","03 Dec 2015","3902","Virtus.pro","Win"
"1977091866","03 Dec 2015","3902","Virtus.pro","Win"
"1976981059","03 Dec 2015","3902","Virtus.pro","Loss"
"1974697195","02 Dec 2015","3902","Natus Vincere","Win"
"1974521164","02 Dec 2015","3902","Natus Vincere","Win"
"1973117951","01 Dec 2015","3902","OG Dota2","Loss"
"1972994203","01 Dec 2015","3902","OG Dota2","Loss"
"1963952938","27 Nov 2015","3865","Team Empire","Loss"
"1963838471","27 Nov 2015","3865","Team Empire","Loss"
"1963272790","27 Nov 2015","3865","Mamas-Boys","Loss"
"1963134007","27 Nov 2015","3865","Mamas-Boys","Loss"
"1943424630","18 Nov 2015","3671","Virtus.pro","Loss"
"1943279606","18 Nov 2015","3671","Virtus.pro","Loss"
"1940059203","16 Nov 2015","3671","Cloud9 G2A","Win"
"1935535689","14 Nov 2015","3671","Unknown Dire Team","Loss"
"1935428959","14 Nov 2015","3671","Unknown Radiant Team","Loss"
"1934739764","14 Nov 2015","3671","EHOME","Loss"
"1934607551","14 Nov 2015","3671","EHOME","Loss"
"1916406689","05 Nov 2015","3865","Vega Squadron","Win"
"1916220690","05 Nov 2015","3865","Vega Squadron","Win"
"1914713381","04 Nov 2015","3534","OG Dota2","Win"
"1914619443","04 Nov 2015","3534","OG Dota2","Loss"
"1910125660","02 Nov 2015","3902","Team Empire","Win"
"1910035388","02 Nov 2015","3902","Team Empire","Win"
"1899006218","28 Oct 2015","3534","Team Empire","Win"
"1898912590","28 Oct 2015","3534","Team Empire","Win"
"1892602691","25 Oct 2015","3902","_PowerRangers","Win"
"1892515602","25 Oct 2015","3902","_PowerRangers","Loss"
"1892430943","25 Oct 2015","3902","_PowerRangers","Win"
"1892309589","25 Oct 2015","3726","(monkey) Business","Loss"
"1892222498","25 Oct 2015","3726","(monkey) Business","Loss"
"1892081241","25 Oct 2015","3726","(monkey) Business","Win"
"1889766380","24 Oct 2015","3902","Team Alternate Attax","Win"
